uasg,num_licitacao
926164,102020
926195,72014
926195,142019
926208,42018
926209,52013
926241,102019
926241,232018
926254,52019
926274,12014
926277,182016
926277,232015
926277,262016
926302,232017
926302,702018
926306,132018
926321,712019
926350,180382018
926377,122019
926377,782018
926377,1232021
926482,42018
926483,372018
926483,562016
926490,382017
926516,22017
926605,122020
926619,32017
926619,272018
926622,262018
926625,102021
926658,582019
926658,1372017
926671,92020
926671,202017
926703,652017
926717,12018
926726,62019
926748,362019
926840,12019
926850,272020
926922,5242018
926922,5692020
927152,112021
927152,212021
927152,792020
927487,22021
927644,12020
927773,3262020
927781,262020
927826,212021
943001,202013
943001,342011
943001,502019
943001,672016
943001,792020
943001,1582012
943001,1732018
943001,1802019
943001,1902012
943001,2002013
943001,2262015
943001,2512018
943001,3022014
943001,3232021
943001,3512007
943001,4062014
943001,4412017
943001,4742014
943001,5032016
943001,5272014
943001,5362020
943001,5512015
943001,5802013
943001,6542017
943001,6782016
943001,7462020
943001,7522014
943001,8072013
943001,8712014
943001,9722016
943001,9782015
943001,9832014
943001,10492014
943001,10572018
943001,10892019
943001,11052014
943001,11062013
943001,11262019
943001,11772016
943001,11962017
943001,12312019
943001,12462021
943001,14202019
943001,14892017
943001,15352017
943001,15452019
943001,16402018
943001,17132020
943001,17212018
943001,17702018
974004,82020
974200,312019
974200,582019
974200,1612018
980005,292017
980005,622018
980005,762015
980005,1022018
980005,1132019
980005,1362017
980005,2322014
980295,22021
980403,112021
980842,232021
980842,412021
980866,152021
980971,132021
981975,42021
982051,40722018
982179,432021
982955,122021
983479,192019
983781,762020
983781,1012020
984387,182021
984433,62020
984675,1092021
984675,1502020
985099,122020
985487,552020
985629,162020
985867,352020
985919,362021
986001,152010
986001,782011
986001,1372014
986001,2402017
986001,2842015
986001,3072015
986001,3302017
986001,3962014
986001,4762015
986001,7462016
986835,832019
986835,942019
986955,192020
987231,422021
987427,22021
987427,802020
987467,592020
987489,162021
987565,432021
987565,1232017
987565,2132018
987637,172021
987667,1732020
987791,1092020
987791,1692020
987813,332021
987885,362021
987885,462019
987885,1152020
987965,192021
988039,1622020
988599,1972021
988759,72020
988815,1462014
988841,332017
988841,1042019
989047,872018
989647,22020
